latitude,longitude,nkill,city,attacktype1_txt
26.736229,93.046353,0,Sootea,Assassination
26.652846,92.792524,0,Tezpur,Bombing/Explosion
31.147131,75.341218,1,Unknown,Assassination
31.8186,75.2028,3,Batala,Assassination
26.652846,92.792524,,Tezpur,Bombing/Explosion
,,0,Unknown,Hijacking
,,0,Unknown,Facility/Infrastructure Attack
30.900965,75.857276,1,Ludhiana district,Unknown
13.08268,80.270718,31,Chennai,Bombing/Explosion
31.147131,75.341218,1,Unknown,Assassination
15.317278,75.713889,0,Unknown,Hijacking
,,0,Unknown,Hijacking
,,,Unknown,Armed Assault
23.940848,91.988153,3,Subaisingh,Armed Assault
31.326015,75.576183,2,Jalandhar,Bombing/Explosion
31.8186,75.2028,14,Batala,Hijacking
31.633078,74.878288,0,Amritsar,Bombing/Explosion
28.690073,77.213982,0,Delhi,Bombing/Explosion
28.585836,77.153336,1,New Delhi,Assassination
19.075984,72.877656,1,Bombay,Assassination
24.798346,93.94043,0,Imphal,Assassination
,,1,Nalavdar,Bombing/Explosion
30.210994,74.945475,6,Bathinda district,Unknown
23.940848,91.988153,2,Unknown,Assassination
,,0,Bhrigudas Bari,Unknown
,,,Madhaybrar,Assassination
30.733315,76.779418,1,Chandigarh,Assassination
30.733315,76.779418,1,Chandigarh,Assassination
30.733315,76.779418,1,Chandigarh,Assassination
31.633078,74.878288,1,Amritsar,Assassination
30.733315,76.779418,0,Chandigarh,Bombing/Explosion
31.958504,75.323245,2,Dhariwal,Assassination
30.210994,74.945474,1,Bhatinda,Assassination
26.846709,80.946159,2,Unknown,Bombing/Explosion
29.149187,75.721653,3,Hisar,Bombing/Explosion
30.733315,76.779418,,Chandigarh,Bombing/Explosion
28.585836,77.153336,5,New Delhi,Bombing/Explosion
28.585836,77.153336,0,New Delhi,Bombing/Explosion
,,0,Unknown,Bombing/Explosion
31.534899,75.910571,0,Hoshiapur,Bombing/Explosion
30.34,76.38,0,Patiala,Bombing/Explosion
32.040763,75.401886,0,Gurdaspur,Unknown
28.984462,77.706414,1,Meerut,Assassination
23.022505,72.571362,0,Ahmedabad,Bombing/Explosion
24.663717,93.906269,0,Unknown,Bombing/Explosion
24.663717,93.906269,0,Unknown,Bombing/Explosion
