,latitude,longitude,nkill,city,attacktype1_txt
235,31.448943,74.925262,2.0,Tarn Taran,Assassination
236,31.8186,75.2028,0.0,Batala,Armed Assault
237,31.958503999999998,75.323245,4.0,Dhariwal,Armed Assault
238,30.34,76.38,3.0,Patiala district,Assassination
239,31.524624,75.905947,1.0,Hoshiarpur,Assassination
240,31.558333,75.294722,1.0,Lakhuwal,Assassination
241,29.886653000000003,76.019607,1.0,Khanewal,Assassination
242,26.652846000000004,92.792524,1.0,Tezpur,Bombing/Explosion
243,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
244,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
245,29.058776,76.085601,0.0,Unknown,Bombing/Explosion
246,32.040763,75.401886,1.0,Gurdaspur,Bombing/Explosion
247,26.736228999999998,93.046353,0.0,Sootea,Assassination
248,26.652846000000004,92.792524,0.0,Tezpur,Bombing/Explosion
249,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
250,31.8186,75.2028,3.0,Batala,Assassination
251,26.652846000000004,92.792524,0.0,Tezpur,Bombing/Explosion
254,30.900965000000003,75.857276,1.0,Ludhiana district,Unknown
255,13.08268,80.270718,31.0,Chennai,Bombing/Explosion
256,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
257,15.317278,75.713889,0.0,Unknown,Hijacking
260,23.940848000000003,91.988153,3.0,Subaisingh,Armed Assault
261,31.326015,75.576183,2.0,Jalandhar,Bombing/Explosion
262,31.8186,75.2028,14.0,Batala,Hijacking
263,31.633078,74.878288,0.0,Amritsar,Bombing/Explosion
264,28.690072999999998,77.213982,0.0,Delhi,Bombing/Explosion
265,28.585835999999997,77.153336,1.0,New Delhi,Assassination
266,19.075984,72.877656,1.0,Bombay,Assassination
267,24.798346,93.94043,0.0,Imphal,Assassination
269,30.210994,74.945475,6.0,Bathinda district,Unknown
270,23.940848000000003,91.988153,2.0,Unknown,Assassination
273,30.733315,76.779418,1.0,Chandigarh,Assassination
274,30.733315,76.779418,1.0,Chandigarh,Assassination
275,30.733315,76.779418,1.0,Chandigarh,Assassination
276,31.633078,74.878288,1.0,Amritsar,Assassination
277,30.733315,76.779418,0.0,Chandigarh,Bombing/Explosion
278,31.958503999999998,75.323245,2.0,Dhariwal,Assassination
279,30.210994,74.945474,1.0,Bhatinda,Assassination
280,26.846709000000004,80.946159,2.0,Unknown,Bombing/Explosion
281,29.149187,75.721653,3.0,Hisar,Bombing/Explosion
282,30.733315,76.779418,0.0,Chandigarh,Bombing/Explosion
283,28.585835999999997,77.153336,5.0,New Delhi,Bombing/Explosion
284,28.585835999999997,77.153336,0.0,New Delhi,Bombing/Explosion
286,31.534899,75.91057099999999,0.0,Hoshiapur,Bombing/Explosion
287,30.34,76.38,0.0,Patiala,Bombing/Explosion
288,32.040763,75.401886,0.0,Gurdaspur,Unknown
289,28.984462,77.706414,1.0,Meerut,Assassination
290,23.022505,72.571362,0.0,Ahmedabad,Bombing/Explosion
291,24.663717000000002,93.906269,0.0,Unknown,Bombing/Explosion
292,24.663717000000002,93.906269,0.0,Unknown,Bombing/Explosion
293,31.147130999999998,75.34121800000001,0.0,Unknown,Armed Assault
294,26.200605,92.937574,3.0,Unknown,Bombing/Explosion
295,25.569805,83.79468100000001,2.0,Sherpur,Assassination
296,28.585835999999997,77.153336,2.0,New Delhi,Assassination
297,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
298,28.585835999999997,77.153336,3.0,New Delhi,Bombing/Explosion
299,31.8186,75.2028,3.0,Batala,Bombing/Explosion
300,31.147130999999998,75.34121800000001,2.0,Unknown,Assassination
301,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
302,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
304,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
305,31.147130999999998,75.34121800000001,2.0,Unknown,Bombing/Explosion
306,31.633078,74.878288,1.0,Amritsar,Assassination
307,31.147130999999998,75.34121800000001,2.0,Unknown,Assassination
308,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
309,31.633078,74.878288,1.0,Amritsar,Armed Assault
310,31.326015,75.576183,2.0,Jalandhar district,Assassination
311,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
312,10.886576,79.116748,0.0,Thiruvaiyaru,Bombing/Explosion
313,31.147130999999998,75.34121800000001,1.0,Gumang Kalaveli,Assassination
314,32.040763,75.401886,0.0,Gurdaspur,Bombing/Explosion
315,30.954424,74.612085,2.0,Firozpur,Armed Assault
316,31.448943,74.925262,1.0,Tarn Taran,Assassination
317,31.8186,75.2028,6.0,Batala,Unknown
318,31.37148,75.393681,7.0,Kapurthala,Unknown
319,31.633078,74.878288,6.0,Amritsar,Armed Assault
320,30.725768,75.275614,2.0,Buttar,Armed Assault
321,31.448943,74.925262,1.0,Tarn Taran,Assassination
322,28.704059,77.10249,0.0,Delhi,Assassination
323,31.8186,75.2028,4.0,Batala,Armed Assault
324,31.448943,74.925262,2.0,Tarn Taran,Assassination
325,31.234401000000002,76.505465,7.0,Anandpur Sahib,Armed Assault
326,31.147130999999998,75.34121800000001,8.0,Unknown,Armed Assault
327,14.681888,77.60059100000001,0.0,Anantapur,Assassination
329,31.633078,74.878288,0.0,Amritsar,Facility/Infrastructure Attack
330,30.898024,75.860077,10.0,Ludhiana,Armed Assault
331,31.147130999999998,75.34121800000001,8.0,Unknown,Armed Assault
332,31.326015,75.576183,20.0,Jalandhar,Armed Assault
333,23.940848000000003,91.988153,5.0,Unknown,Armed Assault
334,31.326015,75.576183,5.0,Jalandhar,Hostage Taking (Kidnapping)
335,31.633078,74.878288,2.0,Amritsar,Armed Assault
336,30.954424,74.612085,0.0,Firozpur,Unknown
337,14.321944,76.72555600000001,0.0,Rani Kere,Assassination
338,31.633078,74.878288,1.0,Amritsar,Assassination
339,31.633078,74.878288,3.0,Amritsar,Armed Assault
340,31.633078,74.878288,1.0,Amritsar,Assassination
341,31.633078,74.878288,2.0,Amritsar,Armed Assault
342,31.864464,74.955923,1.0,Fatehgarh Churian,Assassination
343,31.633078,74.878288,1.0,Amritsar,Unknown
344,31.147130999999998,75.34121800000001,1.0,Unknown,Assassination
345,31.147130999999998,75.34121800000001,3.0,Chola Sahels,Armed Assault
346,24.663717000000002,93.906269,2.0,Unknown,Bombing/Explosion
347,30.34,76.38,1.0,Patiala,Assassination
348,30.898024,75.860077,1.0,Ludhiana,Assassination
349,31.633078,74.878288,2.0,Amritsar,Armed Assault
350,31.147130999999998,75.34121800000001,3.0,Unknown,Armed Assault
351,31.633078,74.878288,0.0,Amritsar,Assassination
352,31.633078,74.878288,5.0,Amritsar,Armed Assault
353,31.127019,75.481773,0.0,Nakodar,Armed Assault
